cpforcnpj,name,email,password,department,telefone
12345678901,João Silva Santos,joao.silva@email.com,Joao@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654321
98765432109,Maria Oliveira Costa,maria.oliveira@email.com,Maria@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654322
45678912345,Pedro Almeida Lima,pedro.almeida@email.com,Pedro@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654323
78912345678,Ana Paula Ferreira,ana.ferreira@email.com,Ana@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654324
32165498701,Carlos Eduardo Souza,carlos.souza@email.com,Carlos@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654325
65432198709,Fernanda Rodrigues,fernanda.rodrigues@email.com,Fernanda@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654326
14725836901,Ricardo Pereira Santos,ricardo.pereira@email.com,Ricardo@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654327
25836914701,Juliana Mendes Costa,juliana.mendes@email.com,Juliana@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654328
36925814701,Roberto Silva Lima,roberto.silva@email.com,Roberto@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654329
74185296301,Patricia Alves Santos,patricia.alves@email.com,Patricia@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654330
85296374101,Marcos Antonio Costa,marcos.antonio@email.com,Marcos@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654331
96374185201,Luciana Ferreira Lima,luciana.ferreira@email.com,Luciana@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654332
15975346802,Diego Oliveira Santos,diego.oliveira@email.com,Diego@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654333
75315946802,Camila Rodrigues Costa,camila.rodrigues@email.com,Camila@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654334
46875315902,Thiago Pereira Lima,thiago.pereira@email.com,Thiago@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654335
95175346802,Vanessa Silva Santos,vanessa.silva@email.com,Vanessa@123,2f0f578a-6bea-4f67-9f79-c6750f9d3367,11987654336
35795146802,Andre Luis Costa,andre.luis@email.com,Andre@123,7cf9aa5a-b557-43e5-9a21-beb4d5e2bf60,11987654337
46835795102,Bruna Mendes Lima,bruna.mendes@email.com,Bruna@123,a9a3e73d-e795-4b86-8112-a386980fade9,11987654338
95146835702,Felipe Almeida Santos,felipe.almeida@email.com,Felipe@123,78364afe-6f2e-4081-8d94-8be3a6eb7716,11987654339
